@relation data_456

@attribute ZN-E numeric
@attribute PH-E numeric
@attribute SSV-E numeric
@attribute SED-E numeric
@attribute PH-P numeric
@attribute SSV-P numeric
@attribute SED-P numeric
@attribute PH-D numeric
@attribute SSV-D numeric
@attribute SED-D numeric
@attribute PH-S numeric
@attribute SSV-S numeric
@attribute SED-S numeric
@attribute RD-DBO-P numeric
@attribute RD-SS-P numeric
@attribute RD-SED-P numeric
@attribute RD-DBO-S numeric
@attribute RD-DQO-S numeric
@attribute RD-DBO-G numeric
@attribute RD-DQO-G numeric
@attribute RD-SS-G numeric
@attribute binaryClass {P,N}

@data
1,7.7,59.3,3.2,7.6,56.8,4,7.7,59.1,0.2,7.8,67.3,0.05,9.2,50,95,?,39.7,?,58.2,79.2,P
1.5,7.6,46.3,4.5,7.7,47.4,5.5,7.7,73.7,0.2,7.8,75,0.1,60.6,80.4,97.3,78.2,74.1,88.6,87.6,91.3,P
2,7.3,49.3,4,7.5,44.9,4,7.3,62.2,0.1,7.5,72.9,0.02,46,71.2,97.5,78.2,41.4,86.3,68.6,88,N
2,8.1,47.8,3.5,8,59.7,3,8,69,0.2,8.2,77.6,0,46.9,66.1,93.3,85.9,?,92.1,?,93.7,N
0.4,7.5,46.2,4.3,7.5,52.5,4.5,7.5,78.4,0.2,7.6,78,0,35.3,69.7,96.7,84.8,51.3,92.3,67.5,92.3,N
1.7,7.5,?,4,7.5,?,3.5,7.5,?,0.2,7.6,?,0.02,45.9,80.5,94.3,84.8,73.1,91.4,83.1,96.9,N
6.5,7.8,?,6.5,7.8,?,4,7.8,?,0.3,7.8,?,0.02,?,67.3,93.8,85.6,65.1,90.2,79.5,97.5,N
4.5,7.7,?,5,7.6,?,4.5,7.5,?,0.3,7.5,?,0.02,56.8,58.8,94.4,87,75.6,92.7,81,93,N
0.8,7.7,?,1.8,7.9,?,4,7.8,?,0.2,7.9,?,0.2,29.3,65.5,95,79.3,46.2,85.5,64.1,38.3,P
1.3,7.6,51.3,5.5,7.6,47,4,7.7,65.2,0.2,7.8,70.8,0,39.6,69.5,96.3,88.2,71.2,91.9,81.2,94.2,N
1.7,7.6,53.1,4,7.6,53.4,4.5,7.6,69.4,0.2,7.7,69.3,0.02,58.5,58.5,95.6,88.2,45.8,95.1,70.1,93.4,N
6.5,7.6,50,3,7.6,51.2,2,7.6,65.8,0.2,7.7,68.9,0.02,39.6,55.8,90,85.6,74.7,92.6,77.5,89.8,N
5,7.6,57.3,3.2,7.6,55.8,3,7.6,76.7,0.3,7.7,82.9,0,64.8,58.7,91.7,91.2,64.2,95.9,75.7,91.5,N
5,7.8,53.1,5.5,7.8,47.6,8.5,7.9,73.1,0.2,7.9,57.5,0.02,34.8,69.4,97.6,91.6,81.7,92.1,86.6,96.9,N
2.5,7.9,61.4,6.5,7.9,60.5,6,7.8,73.3,0.3,7.8,62.2,0,49.5,72.2,95,90.1,?,94.6,?,96.6,N
3.3,7.8,27.2,4.2,7.8,32.3,7,7.7,49.1,0.2,7.8,75,0,40,82.9,97.1,85.2,63,89.7,81.7,97.6,N
3.6,7.6,31.6,7,7.6,28.6,11,7.6,48.3,0.4,7.7,80,0,79.1,85,96.8,77.6,64.2,92.6,86.5,98.4,N
2.71,7.8,47.4,3,7.8,46.7,4,7.8,59.2,0.3,7.7,75.6,0,56.9,59.2,92.5,89.4,66.7,93.7,74.2,95.4,N
2.42,7.7,39.8,2.5,7.7,25.3,4.5,7.7,37.2,0.2,7.7,56,0.02,58.1,71.3,95.6,88.1,65.3,90.2,71.5,91.9,N
0.9,7.7,62.7,4.5,7.7,57.8,4.5,7.7,68.2,0.3,7.7,80,0.02,57.1,65.6,94.4,88.4,42.6,94,64.9,94.6,N
1,7.5,57.3,4,7.6,53.3,4.5,7.7,69,0.2,7.8,86.7,0.02,62.3,65,95.6,89.4,68.7,94.9,80.4,93.3,N
1.6,7.7,58.6,3,7.6,73.1,5,7.6,65.1,0.2,7.6,?,0,54.4,58.7,96,90.8,56.8,95.6,79.6,94.1,N
1.14,7.8,55.7,5,7.8,60.2,3.5,7.8,72.4,1.5,7.9,74.7,0,5.5,40.8,57.1,87.5,78.9,93.5,88.7,93.9,N
3.4,7.8,53.3,6.5,7.8,57.5,7,7.8,67.9,0.2,7.9,74.3,0.02,73,66.9,97.9,89.7,77.4,94.9,94.2,95.4,N
5.35,7.7,37.7,4,7.8,46.5,5,7.8,48.4,0.3,7.9,82.9,0,63.3,56.3,94,78.9,?,90.9,?,94.6,N
2.2,7.9,56.4,4,7.9,50,6,7.9,65.9,0.2,7.9,92,0,?,67.6,97.5,87.6,73.8,93.2,82,94.7,N
?,7.7,51,4.5,7.7,56.4,2.5,7.7,52.2,0.6,7.9,78,0,7.5,36.8,76,91.9,77.4,95.5,84.5,96.5,N
4,7.5,56.8,6,7.6,64.4,6,7.6,77.3,0.2,7.6,70.9,0,30.2,74.7,96.7,89.9,65.7,96.6,82.4,97,N
1.95,7.8,67.5,2,7.8,65.1,2,7.8,76.8,0.5,7.9,80,0.02,42.3,34.9,75,92.1,78.4,94.9,80.1,88,P
0.4,7.6,59,3.5,7.5,64.9,4,7.4,77.6,0.1,7.5,71.4,0.05,41.8,82.2,97.5,83.2,62.3,89.9,74.3,93,P
0.4,7.6,52.4,4,7.5,66.2,2.5,7.4,75.3,0.1,7.6,71.8,0,61.1,50.7,96,81.1,63.4,91.3,86.5,83.8,N
1.2,7.8,45.6,5.5,8,41,4.5,7.9,74.6,0.1,8,78.3,0.05,61.4,81.8,97.8,77.6,71.9,91.5,87.8,93.7,N
0.3,8.1,40.7,2,8,45.2,1.1,7.9,63.5,0.1,8.1,80,0,25.4,56.8,90.9,81.8,72.8,87.5,80.7,91.9,N
0.35,8,20.3,1.6,8.1,19.9,2.5,8,46.3,0.2,8,76.7,0,43,80.6,92,77.6,78.9,83.3,84.2,96.7,N
2.5,7.7,25.6,1.4,7.9,24.8,1.9,7.8,47.6,0.2,8,83.3,0,41.3,68.4,89.5,86.5,46.4,89.6,61.5,95,N
2,8.1,39.1,1.4,8.1,38.9,1.9,8.2,59.7,0.1,8,88.9,0,64.7,65.6,94.7,84.9,48,88.4,58.7,93.5,N
1.2,7.8,48.2,1.3,7.9,41.2,2.8,7.9,61.1,0.2,8,62.5,0,64.8,72.2,94.5,72.7,47.5,82.9,71.8,85.7,N
1,7.8,43.9,1.5,7.8,57.1,1.2,7.9,64.5,0.1,7.9,66.7,0.05,36.5,44.6,91.7,55.3,37.3,77.9,51.9,70.5,P
0.7,7.8,20.2,0.8,7.8,25.2,1.5,7.8,20.2,0.7,7.9,73.3,0,?,5.3,53.3,?,68.8,90.3,69.1,94.2,N
2,7.8,30.6,2.5,7.9,28.9,3,7.9,45.1,0.3,8,93.3,0,63.4,73.7,90,73.1,48.3,90.9,75.8,96.4,N
0.8,7.8,37.6,2.5,7.8,50,1.3,7.8,52.6,0.4,8,76,0,?,43.5,68,?,58.6,89,77.3,95.7,N
0.8,7.6,57.7,2.5,7.6,54.2,2.5,7.7,57.3,0.7,7.9,69.1,0.02,?,46.4,72,?,66.5,85.1,84.1,94.3,N
0.8,8,67.5,2.5,7.9,61,2.5,7.9,65.9,0.3,8.1,66.7,0,?,48.2,88,?,45.3,?,69.5,90.6,N
0.3,7.7,64.6,2,7.7,61.6,2.5,7.8,79.6,0.2,7.9,67.5,0.02,48.2,63,94,54.5,65.9,65.5,78.7,87.7,P
0.7,7.5,59.1,3,7.6,59.2,2.5,7.6,64.5,1.2,7.7,77.3,0.05,48.9,29.6,52,60.4,81.3,80,80.5,91.5,P
0.27,7.4,65.1,4.5,7.4,64.6,4,7.4,72.5,0.2,7.6,72,0.01,26,64.1,95,81.1,54.5,87.5,79.4,91.3,N
1,7.5,67,5,7.5,63.2,3.5,7.6,72.1,0.2,7.7,61.3,0,38,64.2,95.7,78.7,46.8,87.3,74.6,92,N
0.4,7.6,64.8,1.5,7.6,56.1,7.5,7.6,65.9,1,7.7,59,0.03,50.2,55.8,86.7,76.5,71.4,84.8,72.1,85.2,P
0.7,7.3,67.9,4.5,7.3,61.3,8.5,7.4,78.4,0.3,7.4,70.8,0.1,?,76.9,97.1,77.3,49.3,89.2,71.9,88.7,P
0.5,7.9,?,?,7.7,?,?,7.8,?,?,7.9,?,?,49.2,81.6,?,58.5,61.4,66.7,72.5,88.9,N
0.6,7.9,?,1.5,7.8,?,4,7.8,?,0.2,7.9,?,0,53.2,67.2,95,76.9,?,82.4,?,79.1,N
1.5,7.8,?,4.5,7.8,?,4,7.8,?,0.2,7.9,?,0.02,37.6,72.8,95,87.2,60.4,91.7,74.9,96.6,N
0.9,7.5,?,2.8,7.6,?,3.5,7.6,?,0.4,7.7,?,0,20.3,58.6,90,?,67.7,?,78.2,92.6,N
0.9,7.8,?,2.5,7.8,?,2.5,7.8,?,0.2,7.8,?,0.02,33.3,55.1,92,83.3,65.4,88.5,76.9,91.6,N
0.7,8.1,?,1.3,8.3,?,3,8.3,?,0.2,8.3,?,0,44.1,62.2,93.3,86.3,65.2,91.7,77.8,91,N
0.83,8.2,72.5,10,8,83.6,8.5,7.9,84.5,1.3,7.6,71.7,0.01,33.2,80.1,84.7,92.4,77.7,95,88.4,96.6,N
2,8.1,69.2,5.5,8.2,67.5,8,8.1,78,0.2,7.8,81.8,0,29.1,59.3,97.5,88.8,76.6,92.9,84.2,89.7,N
1,8.1,79.3,7,8.1,74.8,6,8.1,82.1,0.2,7.7,89.1,0.01,19.2,54.5,96.7,88.6,72.7,90.9,77.8,89.6,N
1.7,8.1,74.5,4.7,8.1,75.2,5.2,8.1,84.3,0.5,7.8,87,0,44.8,53.2,90.4,85.5,68.2,89.5,78.5,87.8,N
5.9,8.4,69.5,?,8.3,67.5,?,8.1,76.9,?,7.8,76.9,?,50.4,65.8,?,92,71.8,95.8,86.4,93.2,N
1.3,8.2,55.5,6,8.2,53,4.7,8.1,65.5,1,7.7,77.8,0.02,34.8,58.3,78.7,87.3,71.7,89.7,86.6,94.2,N
1.09,8.7,68.1,5.5,8.4,70.8,2.5,8.4,78.5,1.5,7.9,82.4,0.01,?,27,40,87.7,81.2,96,87.6,92.7,N
1.5,8.3,69.8,5.7,8.3,68.5,6.3,8.1,73.6,1.7,?,?,?,?,33.3,73,?,?,?,?,?,N
5.45,8,79.3,4,8,74.5,5,8.1,78.1,1,7.7,80.8,0.01,45.2,39.6,80,83.3,69.9,89.7,76.7,82.1,N
5.9,8.2,77.6,4.5,8.2,72.6,4.5,8.1,85.5,1,7.8,89.5,0.01,28,42.1,77.8,89.7,77.5,93.5,83.5,90.3,N
2.87,8.1,73.2,?,8,71.3,?,7.9,76.9,?,7.6,84.4,?,54.1,59.7,?,90.2,79.4,93.8,83.7,91.7,N
0.4,7.9,76.5,3.5,8,71.3,4,8.2,81.3,0.5,7.9,90,0.01,30.2,52.5,87.5,90.1,76,93.7,80.5,92.6,N
0.47,8.2,71.9,3,8.2,70.3,3,8.1,80.5,0.2,7.7,90.9,0,23.2,44.6,93.3,88.1,78.9,90.3,83.9,91.4,N
1.2,8.2,73.7,4.3,8.2,74.4,3.5,8.2,83.8,0.2,7.8,94.3,0,51,52.6,94.3,88.6,72.6,90.7,75.4,90.8,N
18.2,8.1,65.3,7,8.1,66,4.5,8.2,78.4,0.2,7.8,85,0,29.3,60.6,95.6,85,64.8,88.1,77.8,89.8,N
1.5,8.3,84.8,4.5,8.3,78,5.5,8.3,89.5,0.2,7.8,90.5,0,55.4,62,96.4,83.1,81.8,88.4,86.2,89.7,N
1.5,8.1,76.6,5.8,8.1,75.3,5.5,8.1,83.1,0.3,7.8,92.5,0.05,60.5,61.7,94.5,85.8,75.9,92.3,83.5,94.8,N
1.02,7.9,75.3,3.8,7.9,79.5,3,7.9,84,0.6,7.7,71.4,0,12.9,35.9,80,89,83.7,90.3,86.8,91.4,N
0.9,7.6,68.5,?,7.8,64.8,?,7.9,72.2,?,7.6,78.8,?,41,38.6,?,?,78.9,?,83.1,78.1,N
0.3,8,73,5,8.1,72.9,4.5,8.1,66.7,0.9,7.7,66.7,0.01,56.3,46.7,80,90.8,82.6,94,87.3,84.7,N
0.5,8.1,76.4,5,8,76.7,4.5,7.9,77.8,0.5,7.8,85.3,0.01,37.8,50,88.9,89.3,65,93.2,82.4,90.4,N
0.96,7.8,83.6,?,7.8,85.7,?,7.7,83.3,?,7.5,92.6,?,32.4,53.2,?,?,63.2,?,76.3,87,N
0.53,7.9,78.4,6,7.9,80,5.5,8,80.4,0.4,7.8,94.3,0.01,63.4,49.1,93.6,?,?,?,?,92.8,N
5.2,8,61.2,2.5,8,50.5,3,8,84.2,0.2,7.8,76.4,0.01,?,60,93.3,?,69.3,?,76.9,91.8,N
8.1,8,47.8,?,7.9,48.7,3,7.9,63.6,?,7.6,70,?,23.6,61.7,?,71.3,64.1,78.2,80.6,91.3,N
1.8,8.1,57,4,8,61,2.8,7.9,71.1,0.2,7.8,87.3,0.02,36.5,41.6,92.7,90.4,80.9,94,86.7,94.1,N
1.51,8.2,53.3,4.5,8.2,55.7,4.2,8.2,61.1,0.2,7.8,64.8,0.01,62.2,55.7,95.2,79.2,?,89.2,?,92.2,N
2.5,8,68.8,3,8.1,49.1,3.5,8,65.1,0.2,7.8,77.6,0.01,12.8,61.6,94.3,85.3,68.2,89,77.2,89,N
1.9,7.9,69.5,6.5,8.2,56.8,3.5,8.2,67.3,0.2,8,72.7,0.01,37.6,58.4,94.3,87.6,74,92.3,82.5,89.5,N
1.7,8.3,69.6,4,8.3,61.4,5.5,8.1,75.5,0.4,7.8,75.3,0.05,32.3,57,92.7,83.5,69.8,90.3,78.6,90.8,P
1.5,8.2,40.6,3,8.1,38.5,2.5,8,55.6,0.2,7.7,71.4,0,42.1,65.4,92,86.4,68,92.1,81.3,94.5,N
1.58,7.8,62.5,1.5,7.9,55.1,1.2,7.9,68.4,0.3,7.9,84.4,0.01,22.2,44.9,75,92.3,72,94.1,79.5,93,N
4.5,8.2,61.1,1.5,8.3,50.9,2.5,8,82.5,0.2,7.8,90,0.01,46.5,60.8,92,89.4,75.5,93.5,80.6,93.1,N
2.3,8.1,55.9,2.5,8,62.7,2,8.1,70,0.2,7.9,76.7,0.01,52,55.2,90,84.2,65.3,91,76.7,89.8,N
0.43,8,66.2,2.5,8.1,60.7,3,8.2,88.2,0.2,7.8,85,0.01,25.7,59.5,93.3,84.1,56.4,87.7,65.1,85.3,N
0.48,8.5,65.8,3.3,8.4,62.7,3.8,8.2,72.2,0.9,7.9,82.7,0.01,38.5,47.1,76,86.5,64,89.6,64.7,80.3,N
0.13,8.2,79,?,7.9,70.4,?,7.7,89.1,?,7.6,87.7,?,?,60,?,82.9,74.7,85.9,78.4,89.2,N
1.4,8,73.2,4.5,8,71.4,4,7.9,90,0.2,7.7,83.3,0.01,30.6,48.1,96.3,87.2,33.5,87.4,64.7,83.1,N
0.8,8.2,65.8,4,8.2,66.7,1.4,8,70.3,0.2,7.7,82.2,0,28,46.4,85.7,82.4,78.3,89.8,89.7,87.7,N
0.14,8.2,63.9,3.5,8,68.5,3,8,71.4,0.2,7.8,66.1,0.05,59.8,42.5,93.3,88.6,70,94.2,79.6,86.1,P
7.9,8.1,67.3,6,8.1,69.7,4.5,8,81.1,0.2,7.9,78.1,0.01,57.5,68.9,95.6,71.1,46.2,85.8,69.3,85,N
3.45,8.2,70.8,4.5,8.3,70.6,4,8.2,80,0.4,7.8,75.7,0.03,28.4,54.1,91.3,86.5,68.6,91.6,76.1,84.3,N
2.24,8.4,70.2,4,8.2,66.7,4,8,78,0.3,7.9,78.9,0,40.4,61,93.8,86.2,67.8,90.8,78.1,89.9,N
2.12,8.2,73.2,6.5,8.2,66.4,7,8.2,72.7,1.3,7.7,73.7,0,?,51.8,82.1,92.3,77.2,94.9,85.9,92.5,N
2.7,8.3,71.2,5.5,8.4,70.6,5,8.3,82.9,0.2,7.7,86,0.02,48.9,59.8,97,85.8,63.9,90.8,75.4,90.4,N
2.21,8.1,73.2,3,8.1,66.9,7,8,75,0.8,7.8,82.9,0.01,33,57,88.6,90.8,71.5,91.9,75.7,90.1,N
0.6,8.1,78,4.5,8.2,74.2,6.5,8,81.6,0.2,7.8,89.2,0,42.6,59.2,97.7,92.2,76.9,94.7,85,93.5,N
1.23,8.2,72.1,6.5,7.8,70.8,7,8.1,76.8,0.3,7.7,77.5,0.01,53.4,56.9,96.4,90.5,76,94.9,86.8,94.3,N
2.1,8.1,75.4,8.5,8,71.1,11.5,8,82.5,0.2,7.8,83.3,0,45.7,62.5,98.3,90.2,71.4,93.7,83.2,92.6,N
3.4,7.7,61.2,2.5,7.8,51.1,5.5,7.8,66.7,0.5,7.9,80,0.02,53.2,60,91.8,85.5,62.6,94.3,72.6,88.2,N
3.6,7.9,33.6,6,7.9,33.8,7.5,7.9,64.2,0.2,7.9,80,0,47.8,79.6,97.3,87.9,63,95.8,78.3,96.9,N
6,7.7,45.1,8,7.7,43.9,10,7.7,49.1,2.5,7.7,85.7,0.02,60,61.9,75,86,64.1,93,81,96.9,N
6,7.8,69.4,4.5,7.8,52.1,7.5,7.8,61.3,0.3,7.7,76.5,0.02,54.2,73.9,96.7,94.7,67.2,95.5,78.2,91.3,N
5.8,7.7,57.6,4.5,7.6,54.2,7,7.7,66.7,0.4,7.8,71.4,0.02,50,71.9,94.3,91.2,71.1,93.2,81.3,94.1,N
1.97,7.3,38.5,1.5,7.4,42.1,2,7.4,34.5,0.2,7.5,63.2,0.02,40.7,51.8,90,90.4,62.3,94.6,72.2,91.9,P
2.7,7.9,50,2,7.8,53.2,2,7.8,58.7,0.2,7.8,77.5,0.05,36.9,51.1,92.5,87.9,78.3,90.2,85,90.5,P
1.3,8,66.7,4.5,8,70.7,3,7.8,73,0.2,7.7,74.3,0.05,29.1,54.9,95,87.2,77.1,88.9,84.9,90.3,P
1.25,8,68.3,2.5,8.1,77.8,2.5,7.8,79.5,0.2,7.9,72.9,0.02,38.4,56.7,92,85.8,65.8,91.1,71.6,86.5,N
4.8,8,45.4,6.5,8,48.1,3.5,7.9,60.5,0.2,7.8,72,0.02,67.2,63.5,94.3,84.1,53.1,95,86.5,96.5,N
0.8,7.9,47.6,2.5,7.9,52.2,1.5,8,75.7,0.3,8,58.3,0.02,47.6,46.4,83.3,89.9,73.7,94.2,85.6,94.3,N
3.5,8.2,51,5,8.2,53.2,4,8.1,60.5,0.3,7.9,58.8,0.02,52.8,54.3,93.8,87.1,75,92.4,85.9,91.8,N
1.5,8.4,60.5,3.5,8.3,69.2,3.8,8.2,72.1,0.4,8,77.8,0.01,50,44.9,89.3,88,74.5,94.4,82.9,89.5,N
3.7,8.1,52.6,2.5,7.9,52.6,2.5,8,71.1,0.2,7.8,83.1,0.02,61.6,50,92,85.3,67.3,90.2,79.9,91.7,N
2.5,8.3,55.8,3.5,8.3,61.3,2,8.1,61.5,0.4,7.9,84,0.02,31.8,30.7,82.5,86,66.7,92.2,76.5,88.4,N
6,8.2,60.3,4,8.3,64.2,4,8.2,64.9,0.5,7.9,80,0.03,44.2,29.6,87.5,86.8,78.3,91.4,80.5,92.9,N
1.6,7.8,68.7,2.5,7.8,68.4,2,7.8,70,0.3,7.8,75.7,0.1,37,12.3,87.5,79.8,59.9,87.9,53.2,79.1,P
2.5,8.1,13.2,5.5,7.9,13.7,7,8,44.1,0.4,7.9,76.9,0.01,70.1,89.4,95,84.8,68.5,93.6,83.4,98.5,N
3.5,7.9,17.8,4,7.9,20,4,8,43.3,0.5,8,54,0.01,20,70.9,88.8,88,59.1,90.8,69,96.1,N
3.3,7.9,33.5,3.5,8,37.9,6,8,54.5,0.5,7.9,57.8,0.02,50.5,76.3,92.5,91.3,73.5,93,82.9,94.6,N
2,8,50.5,3.2,8,42.3,2.8,7.9,52.9,0.6,8,62.5,0.02,?,50.7,78.6,90.8,74.9,94.7,?,91.8,N
1.41,8.1,55.7,2.7,8.1,55.3,1.8,8,63.5,0.4,7.9,59.1,0.02,27.7,44.7,77.8,83.8,70.3,95.8,77.7,88.7,N
5.97,8.1,67.2,2,8.1,55.7,2,7.9,80,0.3,7.8,73.3,0.02,?,49.4,85,?,66.5,?,68.6,81.3,P
1,8.2,64.4,3.5,8.2,55.4,2.5,8.1,63.6,0.3,7.8,68.2,0.01,?,50.9,88,?,54.8,?,68.2,87.8,N
0.5,8,60.2,4,8,49.1,5,8,62.5,0.3,7.9,60,0.01,?,57.9,94,?,68.2,?,75.9,86.7,N
2.07,7.7,43.9,7,7.8,45,8.5,7.9,59.5,1.4,7.7,82.8,0.1,49.4,69.4,83.5,71.4,67.2,91.3,84.3,94.5,P
0.8,7.8,75.8,2.5,7.9,68.6,4.5,7.9,77.8,1.8,7.7,94.3,0.02,28.6,38.2,60,89.8,78.6,91.7,78.9,89.4,N
1.5,7.7,66.3,6,7.9,67.8,4,7.9,74,1,7.7,82.4,0.02,12.6,42.5,75,87.3,64,90.4,78.1,89.8,N
4.85,7.9,68.4,5,7.9,69.6,7,7.9,78.2,0.6,7.7,77.8,0.02,50.2,56,91.4,88.4,69.3,92.3,74.3,90.3,N
2.2,7.9,79.5,4.5,7.9,76.3,4.5,7.9,90.2,0.6,7.8,93.3,0.02,31.8,48.8,86.7,85.7,61.3,86.5,66.6,85.6,N
3.3,7.7,73.6,2.5,8,68.7,2,8,73.5,0.5,7.7,83.8,0,41.5,49.3,75,67.1,56.9,83.3,69.9,88.5,N
1.4,7.9,40.7,?,7.9,44.1,?,7.8,64,?,7.7,84.4,?,41,57.6,?,89.6,52.6,92.7,62.9,91.7,N
0.7,7.9,66.2,2.5,8,65.8,3,7.9,86.5,0.4,7.7,83.3,0,41.8,53.2,88.3,82.6,68.5,90.5,74.3,91.9,N
1.6,8,57,6.8,8.1,63.8,6.3,7.9,66.7,0.7,7.7,88.9,0.03,66.4,48.6,88.8,75.3,79.5,87.9,82.3,92.6,N
2.5,7.8,73,4.5,7.9,69.4,4,7.9,86,0.9,7.8,97.2,0.02,17.5,49.4,77.5,87.4,70,88.2,76,90.5,N
3.8,8.1,68.2,4.5,8,63.6,5.7,7.9,79.7,1.2,7.8,87.5,0,34.7,46.4,78.9,84.8,58.6,89.6,64,90.9,N
4.7,8,67.7,7,8.1,67.9,5,8.1,80.4,0.6,7.8,86.2,0,39.6,54.5,88,90.3,81.8,93.1,86.5,94.8,N
2.1,7.9,71.8,5.5,7.9,72.3,5,7.9,78.6,1,7.8,88.9,0,37.8,58.8,80,91.2,76.4,91.6,81.6,92.3,N
1.6,8,63.6,5.5,8,60.6,6.5,7.9,73.6,0.4,7.7,76.2,0,57.6,68.8,94.6,78.8,70,87.6,82.4,91.3,N
1.24,8,70.2,4.3,8,69.9,3,7.9,78.8,0.1,7.6,86.4,0,?,37.3,96.7,?,73.7,86.6,78.2,86.9,N
0.98,8,68.8,4.5,8.2,64,5,8,77.1,0.6,7.7,83.6,0,31.1,46.1,88,88.1,76,91.1,76.5,86.3,N
2.5,7.8,69.6,4,7.9,71,3.5,7.9,83.7,0.1,7.8,90.9,0.01,15.4,53.8,97.1,84,75.1,87,80.6,88,N
1,7.9,64.5,7.5,8,64.6,5,8,74.5,1.2,7.8,80,0.02,30,44.4,76,86.6,73.7,88,76,89.2,N
3.4,7.9,75,?,7.8,75.2,?,7.7,95.1,?,7.6,86.4,?,51.2,63.7,?,83.5,82.8,88.1,90.4,91.7,N
1.7,7.7,49.2,2.5,7.7,45.9,1.8,7.6,62.9,0.2,7.6,83.3,0,37.8,42.6,88.9,65.6,60,70.8,60,85.2,N
2.6,7.9,36.1,1.2,8,32.1,1.9,8,48.8,0.2,7.7,85.7,0,25.8,60.6,92.1,79.2,?,83.1,?,91.6,N
4.2,7.4,47.4,3.5,7.7,50.5,3,7.8,57.4,1.3,7.7,77.8,0,22.4,37.6,56.7,84.5,74.5,91.8,71.1,92.1,N
3.28,7.9,67.5,3.1,7.9,65.8,3,7.9,80.5,0.2,7.8,79.8,0,34.5,43.8,93.3,87.2,?,90.2,?,88.8,N
8.5,7.5,67.3,?,7.5,64.7,?,7.5,76.1,?,7.4,80,?,56.3,54.9,?,89.3,84.1,92.3,90.7,93.4,N
2,7.7,62.8,?,7.6,55.1,?,7.7,77.5,?,7.6,87.5,?,68.6,59.2,?,86,48.1,96.4,81.1,90.7,N
1.56,8.4,75.2,5,8.5,73.6,4.5,8.3,80.4,0.4,8,92.3,0.01,42.8,51.9,91.1,89.6,76.5,93,84.1,94,N
0.62,8.1,60.2,4.5,8.3,60.6,3.5,7.8,78.4,0.4,7.6,85.2,0.01,28.3,60.6,88.6,74.6,57.1,78.7,76.3,86.2,N
3.03,8.1,72.3,4,8.1,70,5.5,8.1,76,0.8,7.7,84.6,0,70,61.5,85.5,78.1,85.2,92.8,88.3,92.2,N
3.2,8,69.9,4.9,8,68.1,4,8,78.9,0.5,7.7,87.5,0.02,16,59.6,87.5,87,75.4,91.3,85.5,90.4,N
2.57,8,72.8,4.5,8,74.7,4.3,8,74.5,0.5,7.8,92.9,0,45.8,48.4,89.4,90.5,72.3,92.5,83.3,92.4,N
10,8.1,59.4,0.7,8.1,59.8,7.3,8.1,70.7,1.2,7.8,90,0.1,45.8,58.1,83.4,88,77.9,90.7,88.8,94.3,P
2.65,8.4,74,?,8.3,69.3,?,8.1,81.1,?,7.7,90.9,?,34.8,62.1,?,78.8,65.1,86.4,75.3,89,N
1.99,8,74,5.3,8,75,5,7.9,75,1.1,9.7,88.2,0.02,31.3,40,78,86.7,?,90.6,?,91.8,N
10.7,8.1,71.2,6.3,8.2,67.9,7,8.1,74.6,0.8,7.8,85.7,0.05,35.7,51.9,88.6,83.8,?,90.3,?,92,N
5.3,8.2,71.8,7.5,8.2,72,6.3,8.2,78.8,0.6,7.8,90.9,0.02,23.2,60.6,90.4,85.9,71.1,89.1,82.8,92.9,N
8.2,8.1,68.3,9,8.1,68.2,13.2,8.1,75.9,0.4,7.7,85.7,0.03,35.1,67,97,81.5,62.7,84.4,69.8,88.3,N
6.25,8.1,79.5,4,8.2,73.2,5.5,8.1,90.7,0.4,7.8,90.9,0.01,12.4,61.6,92.7,83.9,67.2,87,75.8,85.9,N
6.2,8.1,68.3,6.5,8.2,7.1,7.3,8.2,78.8,0.6,7.8,96,0.07,30,66.5,91.7,86.3,75.1,89.2,87,90.1,P
1.32,8,62.9,4,8,62.4,3.8,7.9,77.8,0.4,7.6,89.5,0.01,?,51.6,90.8,82.5,79.9,82.9,89.3,89.3,N
2.98,8.2,60.7,9,8.2,60.7,8,8.1,76.6,0.4,7.7,86,0.02,40,68.7,95,83.7,73.4,90.8,84.6,94.4,N
2.6,8.1,70.6,5,8.2,67.2,5.5,8.2,70.6,1,8,85,0.02,55.7,58.2,81.8,83,74.4,90.3,80.6,88.2,N
7.6,7.9,75.5,5,7.9,70.7,6.5,8.1,84.4,0.3,7.8,88.6,0,38.9,63.4,96.2,88.3,92.2,91.2,95.7,93.4,N
12.5,7.5,72.5,?,7.6,75.3,?,7.7,74.6,?,7.6,91.4,?,42.7,43.3,?,92.9,57,?,?,92.9,N
4.19,7.7,73.6,4.5,7.9,67.1,8,7.9,78.4,0.5,7.7,86.3,0,67.7,65.1,94.4,86,69.9,93.3,76.6,89.1,N
5.7,7.8,71.2,5,7.9,65,10,8,82,0.9,7.7,85,0.02,48.8,69.5,91,86.1,69.4,88.3,74.9,89.2,N
2.5,8,71.9,7.5,8,71.1,9,8,91.1,0.6,7.8,87.3,0.02,58.4,62.4,93.3,85,83.8,90.3,87.6,90.4,N
2,7.9,76.4,7,7.9,74,7.2,7.9,75,0.7,7.7,92.2,0.02,?,53.4,91,84.4,81.4,89.2,89.3,92.7,N
