@relation data_143

@attribute N numeric
@attribute TREE {D10,D13,D14,D16,D18,D19,D20,D21,D22,G10,G2,G20,G21,G24,G27,G28,G29,G4,G5,G6,G7,G8,G9,J1,J10,J12,J13,J15,J17,J19,J20,J25,J27,J29,J31,J6,J8,M10,M17,M20,M25,M33,M6,O20,O27,O28,O33,O3O,Q12,Q17,Q19,Q23,Q25,Q3,Q34,Q4,Q5}
@attribute BR {A,B,C,D,E,F,G,H,I,J}
@attribute TL numeric
@attribute IN numeric
@attribute INTERNODE_1 numeric
@attribute INTERNODE_2 numeric
@attribute INTERNODE_3 numeric
@attribute INTERNODE_4 numeric
@attribute INTERNODE_5 numeric
@attribute INTERNODE_6 numeric
@attribute INTERNODE_7 numeric
@attribute INTERNODE_8 numeric
@attribute INTERNODE_9 numeric
@attribute INTERNODE_10 numeric
@attribute INTERNODE_11 numeric
@attribute INTERNODE_12 numeric
@attribute INTERNODE_13 numeric
@attribute INTERNODE_14 numeric
@attribute INTERNODE_15 numeric
@attribute INTERNODE_16 numeric
@attribute INTERNODE_17 numeric
@attribute INTERNODE_18 numeric
@attribute INTERNODE_19 numeric
@attribute INTERNODE_20 numeric
@attribute INTERNODE_21 numeric
@attribute INTERNODE_22 numeric
@attribute INTERNODE_23 numeric
@attribute INTERNODE_24 numeric
@attribute INTERNODE_25 numeric
@attribute INTERNODE_26 numeric
@attribute INTERNODE_27 numeric
@attribute INTERNODE_28 numeric
@attribute INTERNODE_29 numeric
@attribute binaryClass {P,N}

@data
624,J8,F,57,15,0.7,2.4,5.7,4.4,6.8,6.9,5.1,4.8,5.2,4.5,4.4,3.5,1.8,0.9,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
625,J8,F,13,6,0.5,3.9,4.9,2.2,1.1,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
626,J8,F,20,9,0.5,2,5.6,6.8,2.8,1.3,0.7,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
627,J10,A,43.5,9,0.5,1.2,4.8,11.1,12,8.6,4,1.1,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
628,J10,A,37,10,0.5,2.8,7.3,10.7,8.5,5.1,1.2,0.5,0.2,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
629,J10,B,2,5,0.2,0.5,0.6,0.5,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
630,J10,B,3,5,0.2,0.5,0.8,1.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
631,J10,B,3,4,0.2,0.6,1.7,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
632,J10,B,24,8,0.5,1.3,4.8,6.7,4.8,3.8,1.8,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
633,J10,C,47,8,0.2,1.4,9.9,12.2,9.7,7.1,4,2.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
634,J10,C,58,8,1.6,5.3,11.5,13.2,11.2,8.4,4,2.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
635,J10,C,89,16,1.5,4.2,10.5,12.8,11.5,10,6.8,6,5.2,4.8,4.3,3,3.1,2.6,1.8,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,N
636,J10,D,58,10,0.5,1.8,4.6,10.1,12.9,11.8,8.6,5.3,2.3,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
637,J10,E,57,12,0.6,2.1,6.1,9.2,7.8,5,5.3,8.2,7.3,3.6,1.2,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
638,J10,E,12,6,0.3,0.9,2.2,4.5,3.7,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
639,J10,E,18,8,0.5,1.3,2.9,5.9,3.9,2.5,1.1,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
640,J10,E,6,6,0.3,1,1.1,1.5,1.3,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
641,J10,E,40,13,0.2,0.9,1.5,2.5,5.1,7.3,6,4.7,4.2,3.8,2.3,1.1,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
642,J10,F,13,6,0.2,0.6,1.7,4.5,4.5,1.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
643,J10,F,63,15,0.3,1.3,3,6.2,7.4,8.2,6.6,4.7,5,5.3,4.2,4.3,2.9,2.4,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
644,J10,G,11,8,0.2,0.8,1.5,3.6,3.5,0.7,0.4,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
645,J10,H,38,8,0.5,1.8,4.9,10,8.6,6.5,4.1,1.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
646,J10,H,7,6,0.3,0.6,1.8,2.7,1.7,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
647,J10,H,3.5,5,0.2,0.6,1,1.5,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
648,J10,H,29,7,0.3,1.2,4.6,9.5,7.3,4.3,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
649,J10,H,7,5,0.6,1.6,2.7,2,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
650,J10,H,43,15,0.5,1.4,6.2,9.6,8.1,5,2.1,1.1,1.3,2,1.9,1.5,1.2,0.8,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
651,J10,H,55,15,0.7,1.3,4,6.5,7.3,5.7,4,3,2.8,3.1,5,4.6,3.4,2.6,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
652,M20,A,24,6,1.5,5.1,8.3,5.8,2.7,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
653,M20,B,35,9,0.3,1.7,5.3,7.3,7.2,5.8,4.6,2.8,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
654,M20,B,23.5,7,1.2,3.5,6.6,6.1,4.2,1.7,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
655,M20,C,56,9,1.2,4.3,10.5,12.6,9.7,8.7,5.2,3.1,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
656,M20,D,31,7,1.2,3.1,7.4,9.1,6.2,3.1,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
657,M20,E,45,9,2.1,6.6,10.7,7.6,6,4.7,4.1,2.5,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
658,M20,F,13,5,1,3.5,6.2,1.8,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
659,M20,F,6,4,0.8,2.7,2.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
660,M20,F,41,7,1.2,4.9,9.2,11.8,9.1,4.1,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
661,M20,G,12,3,3.2,6.8,2.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
662,M20,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
663,M20,G,1,3,0.2,0.3,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
664,M20,G,46,7,3.8,11,12.1,9.4,5.3,3.6,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
665,J17,A,79,19,0.7,1.8,4.8,8,6.8,7.3,7.4,6.5,3.6,2.1,2.2,5,5.3,6.3,4.3,2.8,2.4,1.5,0.3,?,?,?,?,?,?,?,?,?,?,N
666,J17,B,65,10,2.9,8.1,14,11.6,8.7,7.2,4.2,3.7,2.8,1.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
667,J17,C,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
668,J17,C,55,11,0.9,2.8,7.2,10.3,9.3,8.1,7.3,4.7,3.1,1.4,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
669,J17,C,139,22,1.1,2.4,7.5,11.5,10.2,11.3,10.1,7.1,6.3,7.1,7,7,6.8,7.4,7.2,6.3,6.1,5.6,4.6,3.3,2.1,0.6,?,?,?,?,?,?,?,N
670,J17,D,1,3,0.5,0.7,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
671,J17,D,3,4,0.3,0.8,1.7,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
672,J17,D,8,5,0.4,1.3,2.8,2.6,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
673,J17,D,1,3,0.2,0.6,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
674,J17,D,65,12,0.4,2.1,6.8,10,9.3,8.3,6.5,5.6,6,4.7,3.3,1.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
675,J17,E,89,14,1.4,4.9,12.2,12.5,8.5,7.8,7.1,6.9,7.5,6.3,5.4,4.1,3,1.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
676,J17,F,1,3,0.3,0.8,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
677,J17,F,2,3,0.7,0.8,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
678,J17,F,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
679,J17,F,12,5,0.9,2.2,3.9,3.7,1.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
680,J17,F,11,5,1.4,3.2,3.6,2.5,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
681,J17,F,11,5,0.5,2.1,4.1,3.6,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
682,J17,F,1.5,2,0.5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
683,J17,F,18,6,1,2.6,5.2,4.6,2.8,1.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
684,J17,F,5,4,0.8,1.1,2.5,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
685,J17,F,4,4,0.7,1.6,1.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
686,J17,F,17,6,0.6,2,5.6,6.1,2.2,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
687,J17,F,3,3,1.2,1.6,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
688,J17,F,154.5,23,1.8,4.3,10.5,13,10.5,11.5,8,8,7.5,9,8.2,9,8.6,7.1,7,6.7,6.2,5.1,4.8,3.8,2.3,1.1,0.5,?,?,?,?,?,?,N
689,D10,A,2,5,0.3,0.5,0.5,0.2,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
690,D10,A,1,4,0.2,0.4,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
691,D10,C,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
692,D10,C,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
693,D10,C,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
694,D10,C,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
695,D10,C,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
696,D10,C,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
697,D10,C,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
698,D10,C,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
699,D10,C,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
700,D10,C,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
701,D10,C,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
702,D10,A,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
703,D10,A,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
704,D10,A,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
705,D10,A,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
706,D10,A,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
707,D10,E,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
708,D10,E,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
709,D10,B,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
710,D10,B,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
711,D10,F,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
712,D10,G,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
713,D10,B,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
714,D10,B,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
715,D10,C,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
716,D10,C,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
717,D10,A,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
718,D10,A,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
719,D10,A,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
720,D10,A,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
721,D10,A,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
722,D10,A,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
723,D10,A,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
724,D10,A,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
725,D10,A,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
726,D10,A,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
727,D10,F,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
728,D10,E,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
729,D10,E,1,4,0.3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
730,D10,E,1,3,0.3,0.4,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
731,D10,F,1,3,0.2,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
732,D10,E,1,4,0.2,0.5,0.5,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
733,D10,F,1,3,0.2,0.2,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
734,D10,F,1,3,0.3,0.4,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
735,D10,A,1.5,5,0.2,0.5,0.4,0.2,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
736,D10,E,1,4,0.2,0.4,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
737,D10,B,2,6,0.2,0.5,0.6,0.5,0.4,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
738,D10,B,35,14,0.3,0.6,1.5,1.6,1.2,2.7,2.8,3.6,3.8,4.2,5.2,4.1,2.9,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
739,D10,B,48.5,15,0.2,0.6,0.9,1.8,2.6,4.8,6.6,4.7,3.6,4.2,5.4,6.1,4.7,1.9,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
740,D10,D,1,3,0.3,0.4,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
741,D10,D,1,4,0.3,0.5,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
742,D10,D,1,3,0.2,0.4,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
743,D10,E,1,4,0.2,0.4,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
744,D10,G,1,3,0.3,0.4,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
745,D10,G,1,3,0.2,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
746,D10,F,1.5,5,0.3,0.4,0.3,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
747,D10,F,7,10,0.2,0.5,0.4,0.6,0.7,0.7,0.5,1.2,1.5,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
748,D10,F,1,4,0.2,0.3,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
749,D10,G,2,5,0.3,0.5,0.5,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
750,D10,F,2,6,0.2,0.5,0.3,0.3,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
751,D10,F,54,16,0.3,0.5,0.6,0.7,1.3,1.5,1.8,4.2,5.3,6.8,7.8,7.9,6.3,5.2,3.2,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,P
752,D10,G,3,6,0.3,0.5,0.7,0.8,0.5,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
753,D10,G,2,4,0.2,0.5,0.6,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
754,D10,G,1,4,0.2,0.5,0.4,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
755,D10,G,2,5,0.2,0.5,0.6,0.7,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
756,D10,G,2,4,0.5,0.5,0.5,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
757,D10,G,1,4,0.2,0.3,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
758,D10,G,8,9,0.3,0.8,1,1,0.8,1.3,1.4,0.7,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
759,D10,G,2,5,0.3,0.3,0.3,0.8,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
760,D10,G,1,4,0.2,0.3,0.4,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
761,D10,G,2,6,0.2,0.5,0.5,0.6,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
762,D10,A,1,3,0.3,0.4,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
763,D10,F,2.5,6,0.3,0.5,0.7,0.5,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
764,D10,A,2,5,0.3,0.5,0.4,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
765,D10,H,82,20,1,2.5,7.2,10.5,6.5,6.2,4.5,2.6,1.6,1.6,2.2,2.3,6.7,7,5.8,4.5,4.2,3.2,1.4,0.3,?,?,?,?,?,?,?,?,?,P
766,J15,A,108,17,1,3.6,6.7,9.2,12.1,10.8,7.7,6.5,6.2,9.3,9.2,8.2,6.6,5.4,3.2,2,0.5,?,?,?,?,?,?,?,?,?,?,?,?,P
767,J15,B,1,4,0.2,0.5,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
768,J15,B,2,4,0.3,1,0.8,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
769,J15,B,1,3,0.3,0.4,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
770,J15,B,1,3,0.2,0.5,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
771,J15,B,1,2,0.3,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
772,J15,B,1,3,0.2,0.5,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
773,J15,C,1,3,0.2,0.5,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
774,J15,C,1,3,0.2,0.6,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
775,J15,C,1,3,0.2,0.6,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
776,J15,C,1,3,0.2,0.5,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
777,J15,C,1,3,0.3,0.7,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
778,J15,C,1,3,0.4,0.6,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
779,J15,C,2,4,0.2,0.5,0.7,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
780,J15,C,1,3,0.2,0.5,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
781,J15,D,1,3,0.2,0.5,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
782,J15,C,2.5,5,0.4,0.4,0.7,0.8,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
783,J15,C,1,4,0.2,0.4,0.4,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
784,J15,D,1.5,3,0.2,0.8,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
785,J15,D,4,5,0.4,1.7,1.2,0.4,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P
