dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
73,2.8472357,-1.9907732,0.069192596,3.047153,1.1292932,2.2626586,-1.5324012,-1.4412627,-3.7536702,2.5804791,-0.8387557,-3.4259534,-0.5775044,0.6975832,-2.1434963,1.2511622,-1.9229807,3.5415204,0.41114146,2.2976449,3.4519534,4.256209,-1.3267276,-1.2223752,-1.9622322,4.4485145,-2.8131487,3.8312097,4.116819,1.9507583,3.884552,-2.1612687
74,71.23438,-41.844288,-23.410645,68.980125,35.005463,63.126076,-50.16989,-45.50101,-103.85939,79.46027,-35.464977,-83.667,-10.16659,4.9885464,-49.564896,19.92798,-60.183544,99.70116,6.7902093,79.045906,99.13162,104.011475,-36.91943,-45.018234,-66.53584,117.47084,-62.751293,113.83181,106.416725,26.514957,100.919975,-42.387215
75,5830.688,-3425.1633,-1930.5592,5644.982,2879.1904,5183.5635,-4092.269,-3711.314,-8509.375,6522.738,-2905.6147,-6871.499,-833.5298,369.83206,-4031.7495,1623.8625,-4939.6235,8182.6157,542.52844,6481.4365,8135.303,8516.839,-3030.2808,-3708.9785,-5469.5146,9619.991,-5145.754,9319.999,8721.51,2141.1138,8262.922,-3460.5554
76,67.39521,-39.579487,-22.156668,65.27841,33.07813,59.743507,-47.491726,-43.111332,-98.26634,75.17904,-33.611023,-79.187256,-9.625694,4.71601,-46.924335,18.87248,-56.96679,94.348114,6.413867,74.80174,93.777145,98.433365,-34.93946,-42.61625,-62.940453,111.19209,-59.418602,107.75978,100.70628,25.088192,95.51542,-40.117558
77,13.282344,-7.6966944,-3.8752239,13.030371,6.4154816,11.621946,-9.503419,-8.615734,-19.108398,14.632483,-6.400052,-15.4162655,-1.8909903,1.3909637,-9.590902,3.8315983,-11.019027,18.273846,1.5007327,14.578623,18.326595,19.365238,-6.7769103,-8.002478,-12.249748,21.826899,-11.786246,21.040756,19.610275,5.517396,18.73169,-8.062254
78,50.159046,-29.350912,-16.578617,48.70936,24.364172,44.730366,-35.5837,-32.6837,-73.26567,56.074207,-25.572456,-59.473976,-7.1111526,3.4028213,-35.281208,14.128553,-42.832623,70.580345,4.7724237,55.992992,69.83596,73.59949,-25.978928,-32.1336,-46.905197,83.26834,-44.85245,81.03219,75.30713,18.732702,71.46062,-29.972876
79,40.966022,-23.95871,-13.309514,40.024406,19.585667,36.83252,-29.072308,-27.141193,-59.853798,45.830647,-21.300014,-49.28891,-5.854986,2.5945427,-29.08086,11.747764,-35.343693,57.99463,3.8629432,45.821037,57.020397,60.501842,-21.197926,-26.649054,-38.29346,68.504036,-37.482964,66.81165,61.884144,15.520854,58.731182,-24.723446
80,2.6755114,-1.8512682,0.06447492,2.9573426,0.952391,2.2419486,-1.4824871,-1.5276228,-3.532825,2.4548476,-0.9754359,-3.3945732,-0.6147866,0.5643357,-2.0805383,1.2630014,-1.9020741,3.4700456,0.31157032,2.201305,3.2592697,4.0654607,-1.2959003,-1.2656022,-1.8604587,4.392897,-2.8723793,3.8338497,4.011106,1.806468,3.7975628,-2.1083274
81,2.599317,-2.1301818,0.57841533,2.7705169,1.1996844,1.6487134,-0.83669347,-0.40868264,-3.0873969,1.8153423,0.06986623,-2.740347,-0.6803471,0.9909512,-1.7313263,1.2857896,-1.1056278,2.6561399,0.47250906,1.3120682,2.771233,3.728955,-1.0298965,-0.35703653,-1.3321064,3.4248917,-2.1946626,2.3887837,3.4297385,2.2242677,3.0442615,-2.211484
82,3.9384098,-2.4458818,-0.49503475,4.1504917,1.547151,3.4892666,-2.6114182,-2.6559048,-5.4699445,4.0206814,-1.8544172,-4.9990873,-0.67593837,0.59221566,-3.1109626,1.5102336,-3.2350757,5.382798,0.51743543,3.9182014,5.1504583,6.0281196,-1.9234467,-2.2739134,-3.2381616,6.6726027,-4.1559505,6.2633104,5.984784,2.2597213,5.7073355,-2.8109145
83,18.891571,-11.278262,-5.509095,18.729185,8.769146,16.890408,-13.052279,-12.2936125,-27.325953,20.753109,-9.57,-22.885157,-2.9633362,1.3670837,-13.433325,5.796242,-15.974111,26.54304,1.7242165,20.533522,25.936579,28.000757,-9.761179,-12.00496,-17.20961,31.559732,-17.605955,30.403635,28.538868,7.602179,27.075176,-11.775771
84,2.4893723,-1.7118938,0.114399135,2.86768,0.7242209,2.2023895,-1.3881378,-1.5975158,-3.276395,2.2970412,-1.1213998,-3.4061356,-0.67257434,0.40340027,-1.9811456,1.2661169,-1.867424,3.3527722,0.20975003,2.0762765,2.9872599,3.941523,-1.2354916,-1.3607726,-1.7336746,4.301402,-2.988872,3.796779,3.866624,1.6816113,3.6885414,-2.0703096
85,801.1668,-470.79083,-264.41705,775.5248,395.90338,711.41974,-561.7997,-508.8087,-1168.5862,895.6632,-397.8208,-942.77,-114.65886,51.67514,-553.58685,223.22241,-677.4243,1123.1437,74.73203,889.4225,1117.3508,1169.3927,-416.3034,-508.1792,-751.01624,1320.5228,-705.8082,1278.4827,1197.2638,294.7064,1134.3925,-475.4295
86,3.2757573,-2.3732088,0.09925688,3.3747013,1.5407851,2.283402,-1.6360487,-1.132453,-4.206102,2.7784722,-0.40392914,-3.3585753,-0.6336206,1.1150657,-2.2949996,1.332405,-1.7926683,3.587141,0.60222816,2.4130394,3.8741348,4.7276516,-1.4635412,-0.87042916,-2.1092992,4.612491,-2.588263,3.6487083,4.3820763,2.3536084,4.10185,-2.4460785
87,372.88782,-218.99507,-123.396034,361.05365,183.85733,331.46124,-261.9511,-237.77625,-544.1861,417.02716,-186.09079,-439.48453,-53.26261,24.003897,-258.26483,103.968445,-315.9734,523.2642,34.82481,414.55487,520.0831,544.793,-193.67905,-237.16475,-349.5915,615.4072,-329.29202,596.4606,557.8281,137.21237,528.5945,-221.45297
88,13.446432,-8.044734,-3.6819596,13.494881,6.037007,12.120772,-9.26725,-8.938182,-19.388006,14.706972,-6.9477296,-16.58345,-2.1838214,0.96666634,-9.709712,4.286779,-11.445772,18.974277,1.2176775,14.541789,18.36863,20.112514,-6.9364977,-8.63859,-12.153727,22.672087,-12.948008,21.830969,20.449574,5.62048,19.425909,-8.563236
89,241.44925,-141.81233,-79.846664,233.77177,119.01247,214.5372,-169.68117,-153.99808,-352.34348,269.94385,-120.46603,-284.462,-34.4648,15.729019,-167.34805,67.33272,-204.54446,338.72156,22.63255,268.39423,336.67484,352.73688,-125.34688,-153.46487,-226.26518,398.44168,-213.15234,386.21463,361.15326,88.98824,342.253,-143.42595
90,17.653059,-10.331049,-5.2877316,17.241465,8.5938,15.445108,-12.481272,-11.240755,-25.454983,19.444296,-8.434754,-20.42936,-2.5494657,1.7062773,-12.51404,5.075346,-14.585774,24.304674,1.8882332,19.281876,24.372189,25.69665,-9.078984,-10.632582,-16.261347,28.932255,-15.503313,27.78143,26.089458,7.1221914,24.847237,-10.678144
91,3.337586,-2.747864,0.778572,3.4901347,1.7878377,1.9073074,-0.97411615,-0.09467343,-3.804667,2.2003694,0.56395805,-3.0063457,-0.8914027,1.4702748,-2.0510871,1.613129,-1.047785,3.0712829,0.6590272,1.4615743,3.5556455,4.507592,-1.3116922,0.049029477,-1.6693001,4.019372,-2.3114543,2.4198067,4.1135864,2.898773,3.6069317,-2.8218057
92,1.8736475,-1.7577543,0.8853777,2.08849,0.81691855,0.99561214,-0.17326492,0.15490921,-1.998105,0.9644022,0.40911943,-2.0263698,-0.65789855,0.7889255,-1.1178949,1.1037608,-0.4960608,1.6910696,0.31468695,0.40436083,1.6646618,2.6799574,-0.6460365,-0.054724507,-0.6001663,2.1900938,-1.64658,1.1858968,2.3655982,1.8979009,1.9906578,-1.7650626
93,2.180869,-2.0033562,0.9333855,2.4134011,1.0237473,1.2083386,-0.299676,0.1249401,-2.3456016,1.1280106,0.4634506,-2.3261104,-0.7187364,0.9570263,-1.3856505,1.2851716,-0.6264909,2.0316472,0.42554492,0.5372906,2.0418103,3.0822146,-0.7205348,0.03364705,-0.7600112,2.628364,-1.9321291,1.520371,2.8382592,2.2261043,2.3503914,-2.121318
94,2.1515474,-1.7586838,0.5664596,2.4362488,0.7965679,1.5149081,-0.6923732,-0.57624567,-2.5733552,1.5713923,-0.2234442,-2.6301532,-0.65968364,0.6361465,-1.4880404,1.1741067,-1.0790917,2.4130244,0.26722446,1.1444867,2.2726722,3.2233562,-0.9159237,-0.60843456,-1.1169542,3.1007004,-2.2037249,2.2930624,3.0022824,1.8050976,2.7280488,-1.878784
95,1.9232603,-1.7861811,0.8699811,2.127095,0.85267055,1.0334113,-0.20940574,0.13216391,-2.0695586,1.0163165,0.3997184,-2.0694392,-0.65405494,0.8050785,-1.1550099,1.1123766,-0.5337993,1.7528818,0.33108446,0.4561537,1.737718,2.7432325,-0.66446084,-0.06774477,-0.6484394,2.2593884,-1.6767237,1.2539265,2.431946,1.9257303,2.0497766,-1.7927654
96,2.9622817,-1.9710395,0.00409821,3.269525,1.0311326,2.5372713,-1.7449642,-1.8528436,-3.968408,2.8457649,-1.2319112,-3.8665524,-0.6279302,0.5473863,-2.3240993,1.3204992,-2.2499614,3.9194527,0.3555293,2.6513762,3.6667087,4.572328,-1.4192297,-1.6461294,-2.1861272,4.928899,-3.2583861,4.4439483,4.4440203,1.9408983,4.291255,-2.251943
97,3.8149402,-3.1196063,0.9131789,4.0125685,2.1097744,2.1658716,-1.1000353,-0.018771222,-4.2960196,2.5260105,0.7389373,-3.3474357,-1.0534855,1.6556267,-2.2825732,1.8457029,-1.1261852,3.475287,0.7240202,1.6424183,4.1118994,5.051255,-1.5403893,0.1490955,-1.9587215,4.5527387,-2.558563,2.6250522,4.6330404,3.2807384,4.0634584,-3.201447
98,3.1991556,-2.7099302,0.88252103,3.3539715,1.7375071,1.7518339,-0.7984237,0.08978148,-3.5746517,1.9881172,0.69956243,-2.8596494,-0.88637304,1.4762118,-1.9340725,1.59116,-0.8889162,2.849327,0.6539706,1.2303913,3.3187327,4.305703,-1.1985781,0.17077254,-1.4950563,3.7348275,-2.1955357,2.1242259,3.8998418,2.8979878,3.3730881,-2.773104
99,3.67304,-3.189211,1.2728441,3.9055781,2.1221528,1.8778985,-0.6840113,0.49973035,-3.8994756,2.0969632,1.1776383,-3.1334898,-1.123072,1.7526133,-2.0851445,1.9126486,-0.7445893,3.0866704,0.7430327,1.08993,3.7304695,4.764057,-1.3364117,0.51221466,-1.6150515,4.0506773,-2.400118,1.9475826,4.32257,3.474732,3.6606984,-3.2699866
100,3.7535386,-3.152522,1.0671698,3.9619374,2.1154675,2.0372524,-0.9190315,0.21047048,-4.125853,2.3390405,0.9309904,-3.2510448,-1.081797,1.7022874,-2.1971443,1.8714592,-0.959709,3.3016639,0.73489976,1.405401,3.945006,4.929505,-1.4488716,0.30929658,-1.8109138,4.3317213,-2.4839852,2.3290708,4.49475,3.3668733,3.8856797,-3.229803
101,1.9598904,-1.8382698,0.8975897,2.1166077,0.9268948,0.9948877,-0.17452623,0.23961473,-2.0933867,0.99473536,0.5131854,-2.0140595,-0.63800615,0.86692154,-1.1433076,1.1059881,-0.48550114,1.7193489,0.37405777,0.4026034,1.7536204,2.746063,-0.6482182,0.026302423,-0.63731986,2.1960142,-1.6047589,1.1493912,2.4182968,1.986112,2.000528,-1.8097025
102,274.91925,-161.46669,-90.78175,266.2127,135.56589,244.22256,-193.0915,-175.14615,-401.068,307.33878,-136.93723,-323.71445,-39.31063,17.894125,-190.37679,76.68534,-232.6982,385.52032,25.720554,305.42612,383.3347,401.5254,-142.80853,-174.5433,-257.6286,453.5147,-242.55087,439.33414,411.04254,101.31209,389.55084,-163.28241
103,14.033603,-8.145252,-4.197326,13.729713,6.7800965,12.336419,-10.054933,-9.180624,-20.275448,15.495753,-6.9069967,-16.467548,-1.9499416,1.390949,-10.183508,4.025573,-11.804052,19.46385,1.5885137,15.510981,19.39649,20.515362,-7.1039248,-8.640049,-12.974739,23.154774,-12.576049,22.500505,20.854422,5.781128,19.872372,-8.5093975
104,14.25025,-8.217642,-4.436949,13.980719,6.753421,12.715913,-10.350092,-9.675012,-20.724838,15.855806,-7.4065375,-17.073069,-1.9470489,1.271254,-10.503286,4.1010976,-12.298249,20.038408,1.578308,16.016998,19.763897,21.051039,-7.210328,-9.113368,-13.259128,23.844666,-13.119965,23.420603,21.439701,5.792375,20.4339,-8.678553
105,170.53079,-100.18169,-56.076946,165.13098,84.11694,151.2482,-119.727394,-108.39726,-248.58829,190.45255,-84.565506,-200.31825,-24.443638,11.401001,-118.033035,47.60159,-143.9569,238.73857,16.021814,189.15274,237.6171,248.85786,-88.59669,-107.81232,-159.6268,280.9995,-150.07028,271.91663,254.64128,63.03582,241.39323,-101.29592
106,2.6345515,-2.365348,0.97063714,2.8424158,1.3732756,1.4199173,-0.46726555,0.19564453,-2.8596513,1.419635,0.66485107,-2.5635211,-0.7933289,1.2756231,-1.6658964,1.4652394,-0.6861797,2.3566387,0.576208,0.75698054,2.5770035,3.6359305,-0.86447096,0.20617664,-1.0118768,3.08017,-2.065268,1.7363142,3.339972,2.6420264,2.7908328,-2.5120456
107,3.5910091,-3.1193469,1.2297615,3.8101246,2.0707088,1.8400266,-0.6762309,0.47356588,-3.828527,2.0624113,1.1361539,-3.0689635,-1.087967,1.7145393,-2.0446754,1.8628134,-0.74082905,3.0266173,0.7266139,1.080673,3.6525013,4.663697,-1.3097795,0.486221,-1.5829164,3.9662895,-2.34259,1.9236546,4.231855,3.3874786,3.5868511,-3.1846614
108,3.3009639,-2.9642415,1.3136481,3.5059478,1.94574,1.5770266,-0.4358173,0.68054193,-3.4233632,1.7325752,1.273514,-2.7782054,-1.0282303,1.6745106,-1.8275955,1.7615054,-0.5189163,2.6434093,0.7069016,0.7561992,3.226347,4.2614965,-1.1177412,0.5984036,-1.2951311,3.4519475,-2.103759,1.4813474,3.8203187,3.2749627,3.1777651,-3.004944
109,3.100075,-3.0417724,1.7599297,3.341559,1.9608462,1.1463981,0.0914864,1.3754994,-2.889528,1.1411989,1.8689886,-2.4329126,-1.1061097,1.8062847,-1.5587339,1.8158907,-0.014022926,2.079288,0.74463046,0.03892406,2.688498,3.8498483,-0.85043323,1.0603168,-0.7919235,2.7419739,-1.8091743,0.55547094,3.3674297,3.5135162,2.6078277,-3.0430317
110,3.3492706,-2.9546123,1.2151784,3.5471816,1.9373258,1.6668066,-0.55526036,0.53147256,-3.5431793,1.8561735,1.1417795,-2.8510454,-1.01882,1.6475334,-1.8912653,1.7524526,-0.63104296,2.763369,0.69841784,0.9147642,3.3411236,4.3589077,-1.1814559,0.50128233,-1.3996394,3.6177998,-2.1654449,1.6878674,3.9227357,3.227623,3.302301,-3.0000284
111,3.4305758,-2.8304117,0.82016927,3.5756497,1.8748375,1.921613,-0.9695789,-0.016005905,-3.8861632,2.2522993,0.65944636,-3.016748,-0.920998,1.5262259,-2.0608218,1.6435823,-1.0156554,3.0994248,0.6747855,1.4650872,3.6492562,4.5871797,-1.3541555,0.107788004,-1.7153156,4.0553203,-2.2884912,2.359586,4.1624722,2.9746416,3.6494193,-2.8727438
112,3.8388722,-3.460793,1.6630394,4.129396,2.3475626,1.7847929,-0.40731177,0.9823135,-3.854351,1.9261951,1.6674389,-3.1675425,-1.2609445,1.951182,-2.062735,2.1013486,-0.47740465,3.00518,0.81526774,0.7352046,3.7405381,4.8381305,-1.2768248,0.8503643,-1.4845623,3.920391,-2.4154963,1.5013275,4.3762774,3.88532,3.600015,-3.5530136
113,3.7731578,-3.1543584,1.0465655,3.983403,2.1196568,2.066345,-0.95082664,0.17221078,-4.1624765,2.3761687,0.9003199,-3.27823,-1.0825849,1.6952174,-2.2170193,1.8749664,-0.9904574,3.3426292,0.7323004,1.4467618,3.9846387,4.9591627,-1.4697425,0.2838554,-1.8414614,4.383524,-2.507332,2.3860571,4.531367,3.3603127,3.9262643,-3.2347474
114,428.21802,-251.5378,-141.6047,414.5663,211.30432,380.49115,-300.69406,-272.71234,-624.8437,478.8391,-213.34615,-504.4041,-61.177357,27.657711,-296.4179,119.337746,-362.61676,600.68744,40.04135,475.90277,597.2553,625.44324,-222.40012,-272.1016,-401.45303,706.4197,-377.81952,684.49817,640.38855,157.6049,606.80676,-254.26047
115,26.787777,-15.756006,-8.140975,26.014343,13.291631,23.244387,-18.707518,-16.496819,-38.553722,29.476084,-12.392187,-30.47906,-3.9681962,2.489387,-18.497395,7.5930204,-21.762278,36.62887,2.720344,29.013845,36.98519,38.64147,-13.907984,-15.862211,-24.694029,43.467747,-22.866941,41.389996,39.280323,10.474522,37.37113,-16.00725
116,87.911125,-51.59916,-29.03487,85.166,43.140026,78.092384,-61.977844,-56.38149,-128.28592,98.1944,-44.063854,-103.6006,-12.527092,5.9481816,-61.236977,24.594288,-74.54812,123.31315,8.325521,97.77444,122.447914,128.53133,-45.57278,-55.871418,-82.23805,145.24202,-77.75969,140.92825,131.56111,32.609222,124.74202,-52.327057
117,129.6724,-76.15828,-42.819332,125.5578,63.82661,115.14519,-91.23025,-82.82037,-189.2027,144.8796,-64.72597,-152.68748,-18.491703,8.653327,-90.04713,36.200687,-109.82048,181.82562,12.235715,144.1147,180.70346,189.4473,-67.26279,-82.32588,-121.39336,214.0015,-114.46482,207.48389,193.93402,47.959473,183.8264,-77.084305
118,347.19922,-203.92763,-114.83187,336.1563,171.23972,308.53488,-243.87851,-221.27292,-506.6459,388.23926,-173.11732,-409.04712,-49.5956,22.451971,-240.44492,96.79029,-294.0856,487.08658,32.469917,385.9144,484.22104,507.1795,-180.31252,-220.68571,-325.46606,572.8756,-306.44922,555.1725,519.292,127.8229,492.08527,-206.18906
119,2.6405644,-2.1984668,0.6620406,2.8760393,1.2055777,1.7085886,-0.8141267,-0.40190077,-3.0942767,1.759952,0.08255466,-2.8755796,-0.73559403,1.0178506,-1.8240483,1.4014581,-1.1225078,2.750671,0.48718008,1.2462165,2.8050756,3.8000855,-1.0155796,-0.2876882,-1.29684,3.5631936,-2.378385,2.4932988,3.5897212,2.3573096,3.1296449,-2.3854597
120,2.9953594,-2.0211577,0.02859113,3.2615688,1.1042831,2.4927,-1.7193797,-1.7507664,-3.9954224,2.8296592,-1.1141895,-3.807256,-0.60504925,0.61841536,-2.3153405,1.3148535,-2.1983733,3.8813114,0.39918882,2.609093,3.6876895,4.566203,-1.4067533,-1.5551307,-2.1690958,4.861812,-3.1719072,4.339418,4.422124,1.9953731,4.248296,-2.2594407
121,218.2521,-128.13087,-72.29881,211.3729,107.41923,194.10303,-153.53658,-139.5844,-318.60516,244.0961,-109.28511,-257.4831,-31.123825,14.120697,-151.48299,60.905598,-185.1952,306.4376,20.440659,242.84506,304.36688,319.06638,-113.29106,-139.02325,-204.5747,360.51144,-193.05849,349.6912,326.71457,80.4231,309.626,-129.71231
122,1.9170259,-1.8437984,0.9798862,2.1255803,0.8894097,0.9652311,-0.100109994,0.29657674,-1.9873232,0.87389135,0.5526884,-2.0260286,-0.6784608,0.86821115,-1.1443226,1.1625682,-0.43395916,1.6760973,0.36685285,0.2789295,1.6611208,2.6951902,-0.6015452,0.092691556,-0.53797114,2.1641204,-1.663174,1.0968182,2.4142559,2.0436714,1.9577668,-1.8795471
123,2.201113,-2.022938,0.93732274,2.4318519,1.046453,1.2163352,-0.30266833,0.13711032,-2.3683858,1.1403604,0.48184267,-2.3340847,-0.72048956,0.97511256,-1.3984873,1.2941426,-0.62524587,2.0461001,0.4329731,0.5428947,2.0698724,3.0996475,-0.72633374,0.050014667,-0.7711182,2.6440716,-1.9316986,1.5225965,2.8605955,2.2472837,2.3669736,-2.1378453
124,15.402881,-8.929073,-4.935858,15.302991,6.929106,14.174039,-11.157506,-10.990096,-22.602997,17.268614,-8.732314,-19.361696,-2.1963186,0.9158902,-11.488004,4.6524744,-13.807071,22.260412,1.4486898,17.50082,21.36076,23.252705,-7.88501,-10.536313,-14.321207,26.452768,-15.091589,26.21571,23.778177,6.083013,22.610374,-9.5778675
125,19.783224,-11.540449,-6.297858,19.24506,9.566769,17.503057,-14.144679,-12.94984,-28.780704,21.97817,-9.943529,-23.277401,-2.7606921,1.6947485,-14.15106,5.605032,-16.76619,27.62391,2.0726724,21.994314,27.429419,28.984848,-10.132538,-12.418658,-18.371666,32.743668,-17.644295,31.871878,29.56252,7.744357,28.115108,-11.903195
126,1.6170671,-1.620566,0.93953353,1.8150167,0.6883036,0.7294966,0.03724086,0.37187177,-1.6446044,0.70943975,0.563097,-1.6606133,-0.6341908,0.75105125,-0.8593143,0.990502,-0.2301068,1.2757267,0.2519173,0.11312127,1.2851535,2.3024187,-0.5632735,0.089645885,-0.35328072,1.6915995,-1.301564,0.6592435,1.9108769,1.7154648,1.5805767,-1.5296267
127,17.594992,-10.248828,-5.5464106,17.136154,8.488213,15.55424,-12.609397,-11.555502,-25.573225,19.527073,-8.841639,-20.705505,-2.4480345,1.564144,-12.649572,4.9980364,-14.911081,24.54673,1.8794597,19.562326,24.3776,25.785187,-8.985913,-11.021592,-16.32397,29.130213,-15.7272005,28.371922,26.280033,6.965707,25.009007,-10.608473
128,1.6158136,-1.6171925,0.93523014,1.8155134,0.68477523,0.73335207,0.032775298,0.36317354,-1.6460464,0.71401393,0.5548328,-1.663566,-0.6341198,0.7474672,-0.860668,0.9902031,-0.23440652,1.2798475,0.24920242,0.119288996,1.2875216,2.3026242,-0.56605005,0.08364148,-0.35670602,1.6974709,-1.3047829,0.6679803,1.9127802,1.7098747,1.5851744,-1.5273211
129,8.876532,-5.153471,-2.4845443,8.734579,4.147547,7.8422112,-6.4589477,-6.02242,-12.838475,9.753155,-4.4422064,-10.583121,-1.1586709,1.041343,-6.6864967,2.5823267,-7.5867033,12.306785,1.1780431,9.870062,12.230088,13.188273,-4.3881598,-5.505862,-8.145698,14.779202,-8.223154,14.47789,13.285942,3.970766,12.690124,-5.5254393
130,3126.2822,-1836.7344,-1034.3362,3027.1355,1543.393,2779.3728,-2193.8086,-1989.8262,-4562.2563,3496.974,-1557.7946,-3684.8262,-447.2443,198.27623,-2161.796,871.14075,-2648.3342,4387.2764,290.7846,3474.6138,4361.6177,4566.8364,-1624.799,-1988.5892,-2932.192,5158.2305,-2759.7468,4996.9175,4676.4546,1148.561,4430.543,-1855.9539
131,2.3212225,-1.6227226,0.18366596,2.7192473,0.6006383,2.0699842,-1.2439067,-1.4989674,-3.0308194,2.1046588,-1.0706155,-3.2526894,-0.6808458,0.34905595,-1.8347889,1.2395809,-1.7196302,3.1336703,0.16220948,1.8563898,2.7242234,3.7369323,-1.1679364,-1.2792513,-1.5644466,4.0466566,-2.8999486,3.5322826,3.6300285,1.5887754,3.4598167,-1.9931028
132,115.52842,-68.05842,-37.461426,112.31134,56.461555,102.812355,-80.83046,-73.785515,-168.33658,128.8487,-57.723778,-136.8103,-16.81486,7.4733706,-80.225334,32.739872,-97.81741,162.16061,10.692747,127.9114,160.74962,169.17888,-59.990295,-73.48056,-107.85033,191.0004,-102.94356,184.84624,173.0926,43.086964,164.02823,-69.163376
133,5.8109775,-3.4517817,-1.1998289,5.7819867,2.6901858,4.942445,-4.162111,-3.725469,-8.237048,6.177545,-2.450254,-6.6544166,-0.7427971,1.0757401,-4.4395795,1.7574778,-4.6435537,7.6386237,0.98802155,6.1796756,7.881961,8.664394,-2.8170166,-3.1241763,-5.1319017,9.428457,-5.2363133,8.939809,8.445511,3.058727,8.133056,-3.7723439
134,37.420982,-22.095533,-11.8297415,36.635475,17.882668,33.44628,-26.204132,-24.314938,-54.475883,41.587288,-19.040766,-44.8313,-5.5452585,2.4863465,-26.34287,10.903429,-31.86148,52.688087,3.4494243,41.348644,51.852825,55.145916,-19.38727,-23.982481,-34.678856,62.284893,-34.050316,60.359657,56.358704,14.310237,53.450783,-22.723173
135,31.007437,-17.976496,-10.421954,30.328363,14.621442,28.159027,-22.368736,-21.258415,-45.548958,34.89619,-16.840961,-37.837536,-4.2993484,1.8462689,-22.43002,8.886421,-27.305893,44.358746,2.9248528,35.193558,43.259468,46.117264,-15.99164,-20.699196,-29.118313,52.40795,-28.923595,51.650635,47.25301,11.654802,44.87046,-18.735378
136,194.98274,-114.76747,-63.688667,189.23822,95.72876,173.39664,-136.52625,-124.229416,-284.2478,217.68631,-97.184654,-230.36748,-28.197622,12.5364065,-135.09955,54.875374,-165.02902,273.58136,18.087008,216.12776,271.57852,285.1906,-101.29213,-123.92533,-182.34381,321.99484,-172.9816,311.6497,291.8693,72.298,276.55054,-116.323204
137,59.649696,-35.143105,-19.192225,58.174644,28.826069,53.245087,-41.81736,-38.522804,-86.92549,66.47058,-30.179052,-71.09285,-8.730721,3.8659046,-41.729523,17.109388,-50.732216,83.92689,5.5055366,66.08085,82.87188,87.65321,-30.944494,-38.17563,-55.54241,99.015305,-53.74763,95.969284,89.64867,22.465118,84.99602,-35.935883
138,1891.333,-1111.0846,-625.9629,1831.4148,933.38556,1681.7279,-1327.4664,-1204.5088,-2760.2512,2115.7192,-943.1375,-2229.8018,-270.50385,119.895096,-1308.246,527.1235,-1602.6608,2654.62,175.89902,2102.4263,2638.6892,2763.1897,-982.9162,-1203.5203,-1773.9404,3121.1655,-1670.2324,3024.0474,2829.5615,694.8302,2680.8071,-1122.9265
139,82445.77,-48679.977,-26410.65,79692.445,41309.785,72394.08,-57043.23,-50699.7,-119565.42,91626.66,-39197.28,-95498.734,-12047.632,5751.8306,-56062.863,22979.857,-68271.0,114380.5,7664.294,90222.03,114622.086,119316.23,-42948.805,-50841.47,-76890.06,134389.2,-71113.25,128827.5,121988.6,30531.307,115568.67,-48718.332
140,7.844981,-4.5434575,-2.0728154,7.765114,3.5985935,6.960847,-5.7287564,-5.409358,-11.322264,8.589964,-3.9442756,-9.466348,-0.9969457,0.96101236,-6.008542,2.3142314,-6.765624,10.875986,1.1157937,8.729617,10.790195,11.764251,-3.8319907,-4.8832974,-7.177723,13.128062,-7.4477143,12.883278,11.776456,3.6736507,11.25632,-4.961503
141,1217.9175,-715.4336,-403.1264,1179.0656,601.2672,1082.5725,-854.8628,-775.3471,-1777.357,1362.3177,-606.91223,-1435.1384,-174.06169,77.70326,-842.41473,339.27606,-1031.6398,1708.9857,113.48718,1353.7446,1699.1233,1778.931,-632.7953,-774.4889,-1142.2855,2009.2981,-1074.7885,1946.8395,1821.6357,447.4852,1725.9244,-722.932
142,97.022224,-56.969643,-31.991016,93.96874,47.690327,86.1181,-68.31676,-62.04004,-141.53023,108.34696,-48.4469,-114.18547,-13.844727,6.579615,-67.46025,27.122066,-82.13568,135.98247,9.181429,107.79905,135.1355,141.75392,-50.318382,-61.53028,-90.75658,160.13622,-85.64655,155.24951,145.07674,35.97182,137.55078,-57.7129
143,17.97852,-10.806041,-5.1575174,17.886692,8.2722225,16.06809,-12.293819,-11.625097,-25.959366,19.646755,-9.107897,-21.893263,-2.9204476,1.2531474,-12.751875,5.609279,-15.15257,25.262821,1.577477,19.389364,24.567017,26.72201,-9.290901,-11.423362,-16.251724,30.054806,-16.88425,28.89359,27.218515,7.258939,25.768885,-11.309557
144,29.452347,-17.253788,-9.354367,28.62066,14.392285,25.959778,-20.805,-18.82702,-42.746212,32.694744,-14.450537,-34.332703,-4.2344522,2.3878355,-20.643261,8.331901,-24.640356,40.926517,2.9229593,32.47145,40.83393,42.942646,-15.251726,-18.24535,-27.347178,48.44969,-25.876434,46.749687,43.777508,11.3027525,41.613045,-17.62146
145,17.550663,-10.349817,-4.83641,17.171215,8.798986,15.0041275,-12.15567,-10.497801,-24.937244,19.01219,-7.6004934,-19.653337,-2.6777349,2.013865,-12.221898,5.127014,-13.858065,23.641422,1.9483433,18.599833,24.100353,25.074938,-9.005094,-9.787688,-15.9728985,28.20477,-14.850908,26.562756,25.48268,7.3428535,24.237123,-10.684935
